Item Code,Brand,Category Name,Sub Category Name,UPCItem,UPCCase,Item Description,Size,Store Pack,ADV_Brand,ADV_Category,ADV_SubCategory,ADV_ItemDescrip,ADV_ItemUPC,ADV_CaseUPC10,ADV_Size,ADV_StorePack,RptLvlFilter
905018,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142914512,7142914512,CRAB AND SHRIMP BOIL LIQUID CONCENTRATED,8 OZ,12,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,CRAB AND SHRIMP BOIL LIQUID CONCENTRATED,7142914512,7142914512,8 OZ,null,INCLUDE
907857,DROGHERIA ALIMENTA,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,65638535900,65638535900,FOUR SEASONS PEPPERCORN,1.24 OZ,6,null,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,FOUR SEASONS PEPPERCORN,5638535900,5638535900,1.24 OZ,6,INCLUDE
907907,DROGHERIA ALIMENTA,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,65638536300,65638536300,MEDITERRANEAN SALT,3.17 OZ,1,DROGHERIA ALIMENTA,null,SPECIALTY FOODS-EXTRACTS,MEDITERRANEAN SALT,5638536300,null,3.17 OZ,1,INCLUDE
907915,DROGHERIA ALIMENTA,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,65638535600,65638535600,BLACK PEPPERCORN,1.6 OZ,6,DROGHERIA ALIMENTA,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,BLACK PEPPERCORN,5638535600,5638535600,1.6 OZ,6,INCLUDE
907916,DROGHERIA ALIMENTA,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,65638500038,65638500038,HIMALAYAN SALT,3.17 OZ,6,DROGHERIA ALIMENTA,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-EXTRACTS,HIMALAYAN SALT,5638500038,5638500038,3.17 OZ,6,INCLUDE
910612,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142902645,7142902645,CRISPY SEASONED FISH FRY POLY BAG,10 OZ,12,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,CRISPY SEASONED FISH FRY POLY BAG,null,7142902645,null,12,INCLUDE
910729,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142902750,7142901303,CRISPY SOUTHERN FISH FRI BOX,24 OZ,8,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,CRISPY SOUTHERN FISH FRI BOX,7142902750,7142901303,null,8,INCLUDE
910984,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142901170,7142901170,CAYENNE PEPPER,7.25 OZ,12,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,CAYENNE PEPPER,7142901170,7142901170,7.25 OZ,12,INCLUDE
911339,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142914517,7142914517,CRAB AND SHRIMP BOIL LIQUID LEMON,8 OZ,12,ZATARAINS,null,SPECIALTY FOODS-SPICES,CRAB AND SHRIMP BOIL LIQUID LEMON,7142914517,null,8 OZ,12,INCLUDE
911404,ZATARAINS,SPECIALTY FOODS,SPICES / SEASONINGS,7142901158,7142901158,CAYENNE PEPPER 10,3.75 OZ,1,ZATARAINS,SPECIALTY FOODS,SPICES / SEASONINGS,CAYENNE PEPPER 10,7142901158,7142901158,3.75 OZ,1,INCLUDE
912022,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142901800,7142901800,EXTRA SPICY PRE SEASONED CRAB BOIL,63 OZ,6,ZATARAINS,null,SPECIALTY FOODS-SPICES,EXTRA SPICY PRE SEASONED CRAB BOIL,7142901800,7142901800,63 OZ,null,INCLUDE
913657,ZATARAINS,"PICKLES, OLIVES, RELISHES",SPECIALTY FOODS-OLIVES,7142903918,7142903918,MANZINILLA OLIVES,10 OZ,12,ZATARAINS,"PICKLES, OLIVES, RELISHES",null,MANZINILLA OLIVES,7142903918,null,null,null,INCLUDE
913658,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142901925,7142901925,CRAB AND SHRIMP BOIL,4.5 LB,1,ZATARAINS,null,SPECIALTY FOODS-SPICES,CRAB AND SHRIMP BOIL,7142901925,null,4.5 LB,1,INCLUDE
913673,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142902475,7142902475,SEASONED FRI,5.75 LBS,4,ZATARAINS,null,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,null,7142902475,7142902475,5.75 LBS,4,INCLUDE
913822,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,7142902402,7142901386,REGULAR FISH FRI,10.5 OZ,8,ZATARAINS,COOKIES - CRACKERS - MISCELLANEOUS BREAD PROD,SPECIALTY FOODS-CRACKER CRUMBS/BREADING MIXES,null,7142902402,null,10.5 OZ,8,INCLUDE
913830,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,7142912108,7142901325,CREOLE SEASONING,17 OZ,6,ZATARAINS,"SALT, SEASONINGS, SPICES",SPECIALTY FOODS-SPICES,null,7142912108,7142901325,17 OZ,6,INCLUDE
913855,ZATARAINS,"PICKLES, OLIVES, RELISHES",SPECIALTY FOODS-OLIVES,7142904707,7142904707,COCKTAIL OLIVES,10 OZ,12,ZATARAINS,"PICKLES, OLIVES, RELISHES",null,COCKTAIL OLIVES,7142904707,null,10 OZ,12,INCLUDE
938399,FRENCHS,CONDIMENTS & SAUCES,MUSTARD,4150000099,4150000099,DIJON MUSTARD WITH CHARDONNAY,12 OZ,12,FRENCHS,CONDIMENTS & SAUCES,MUSTARD,DIJON MUSTARD WITH CHARDONNAY,4150000099,4150000099,12 OZ,12,INCLUDE
938400,FRENCHS,CONDIMENTS & SAUCES,MUSTARD,4150099292,4150099292,STONE GROUND DIJON MUSTARD,12 OZ,8,null,null,null,STONE GROUND DIJON MUSTARD,4150099292,4150099292,12 OZ,null,INCLUDE
938878,FRANKS RED HOT,CONDIMENTS & SAUCES,HOT SAUCE,4150082772,4150082772,RED HOT SWEET CHILI SAUCE,12 OZ,12,FRANKS RED HOT,CONDIMENTS & SAUCES,null,RED HOT SWEET CHILI SAUCE,4150082772,4150082772,12 OZ,12,INCLUDE
